,Document ID,Document Type,External Source(s),Authors,Date Acquired,Publication Date,Publication Information,Subject Category,Report/Patent Number,Meeting Information,Accession Number,Funding Number(s),Distribution Limits,Copyright,Technical Review,Keywords
0,19710021280,Special Publication (SP),,"September 2, 2013","May 4, 1971","Publication: Proceedings of NASA Aircraft Safety and Operating Problems
Volume: 1",Aircraft,NASA-SP-270,"NASA Aircraft Safety and Operating Problems Conference
(Hampton, VA)",71N30756,Use by or on behalf of the US Gov. Permitted.,,20160006039,Presentation,,
1,"May 11, 2016","May 2, 2016",,"Air Transportation And Safety
Administration And Management",DFRC-E-DAA-TN31899,"Asia Pacific Aviation Safety Subject Matter Expert Exchange Conference (APASS)
(Honolulu, HI)",,Public Use Permitted.,"culture
safety
aviation",20200000341,,,Presentation,"January 16, 2020",,"November 18, 2019"
2,Air Transportation And Safety,ARC-E-DAA-TN75565,,"International Confidential Aviation Safety Systems (ICASS)
(Seol)",WBS: 340428.02.30.01.01,Work of the US Gov. Public Use Permitted.,,Aviation Safety Reporting System,20210009935,Other - Safety requirements document,,"February 8, 2021","February 1, 2015",,,Space Transportation And Safety
3,SSP 30599 (Revision F),"WBS: 581570.03.04.07
CONTRACT_GRANT: NNJ12GA46C",,Public Use Permitted.,NASA Technical Management,"ISS
ISRP
SSP 30599
Space safety",20205003347,Conference Paper,"June 9, 2020",,,Air Transportation And Safety,"73rd Annual International Air Safety Summit
(Online)",WBS: 869021.01.07.01.01,Work of the US Gov. Public Use Permitted.,Single Expert
4,"Safety
Recognizing
Understanding
Human contributions
Aviation safety",19720018334,,Conference Paper,"August 6, 2013",,,"May 26, 1971",,Publication: Proceedings of the NASA Government-Industry System Safety Conference,,General,"Government-Industry System Safety Conference
(Greenbelt, MD)",72N25984,Work of the US Gov. Public Use Permitted.,20180007005
5,Conference Paper,"October 29, 2018",,"June 25, 2018",Air Transportation And Safety,ARC-E-DAA-TN57063,"AIAA Aviation and Aeronautics Forum and Exposition
(Atlanta, GA)",WBS: WBS 340428.02.30.01.01,,Use by or on behalf of the US Gov. Permitted.,"safety
air transportation
airport
ground operations",,20210009936,Other - Safety requirements document,,
6,"February 8, 2021","September 1, 2019",,,Space Transportation And Safety,SSP 51721 (Baseline),,"WBS: 581570.03.04.07
CONTRACT_GRANT: NNJ12GA46C",Public Use Permitted.,NASA Technical Management,,"ISS
Space Safety
SSP 51721
ISRP",20160006107,Presentation,,"May 13, 2016"
7,"May 2, 2016","Air Transportation And Safety
Administration And Management",,DFRC-E-DAA-TN31726,"Asia Pacific Aviation Safety Subject Matter Expert Exchange (APASS)
(Honolulu, HI)",Work of the US Gov. Public Use Permitted.,"management
safety
aviation",20160014533,Conference Paper,,,doi:10.5296/jss.v2i2.10444,"December 7, 2016","November 3, 2016","Publication: Journal of Safety Studies
Volume: 2
Issue: 2",Air Transportation And Safety
8,ARC-E-DAA-TN36294,"International Cross-Industry Safety Conference (ICSC)
(Amsterdam)",,WBS: WBS 999182.02.75.01.01,Public Use Permitted.,"emerging risks
change management
aviation safety",,20150015500,Special Publication (SP),"August 6, 2015",,,"May 30, 2015",Space Transportation And Safety,,"HQ-E-DAA-TN23550
NASA/SP-2014-612"
9,Public Use Permitted.,"Safety Case
System Safety
Safety Assurance",19720018333,Conference Paper,"August 6, 2013","May 26, 1971",Publication: Proceedings of the NASA Government-Industry System Safety Conference,General,"Government-Industry System Safety Conference
(Greenbelt, MD)",72N25983,,Work of the US Gov. Public Use Permitted.,20140010408,Technical Memorandum (TM),,"August 4, 2014"
10,"June 1, 2013",Air Transportation And Safety,,"ARC-E-DAA-TN8724
NASA/TM-2013-216521",WBS: WBS 648987.02.05.01,Work of the US Gov. Public Use Permitted.,,"prospection
safety
complexity",20190032150,,,,Technical Memorandum (TM),"October 18, 2019",,"September 1, 2019"
